Date,SHY,IEF,LQD,EMB,year,month
2010-01-31 00:00:00+00:00,1.0037444541907,1.0108913385524207,1.0056351736314593,1.0033975850371748,2010,1
2010-02-28 00:00:00+00:00,1.0067071846857123,1.018449402756315,1.001285867723443,0.989885315282396,2010,2
2010-03-31 00:00:00+00:00,1.005972899436737,1.020193021365703,1.0202386932490406,1.0265301928568138,2010,3
2010-04-30 00:00:00+00:00,1.005631142438793,1.017023844033181,1.025112233424468,1.0395733861422183,2010,4
2010-05-31 00:00:00+00:00,1.0114039053517496,1.0500264904693144,1.0312929655471332,1.0193811169873834,2010,5
2010-06-30 00:00:00+00:00,1.0146315764461706,1.0711824095585027,1.0388087305196536,1.0312658399795778,2010,6
2010-07-31 00:00:00+00:00,1.0176138459281616,1.0925323530527578,1.0670022055523605,1.065518863876783,2010,7
2010-08-31 00:00:00+00:00,1.0206154589632421,1.123753563428096,1.0952083972362372,1.1141829541847477,2010,8
2010-09-30 00:00:00+00:00,1.0216685101194507,1.1284733728840113,1.1033685936062303,1.1169860272906054,2010,9
2010-10-31 00:00:00+00:00,1.0243745961268655,1.1448633184959622,1.1142080775762793,1.147932106415583,2010,10
2010-11-30 00:00:00+00:00,1.0232618632765604,1.1346041144242276,1.104829980255486,1.1356702202664126,2010,11
2010-12-31 00:00:00+00:00,1.020498950501854,1.0909650294308098,1.0820467601848807,1.1057103180641925,2010,12
2011-01-31 00:00:00+00:00,1.021575527043648,1.0891157363288633,1.0906612471078052,1.1069418338210832,2011,1
2011-02-28 00:00:00+00:00,1.019417434435319,1.0760701962514865,1.0857425822189006,1.0903855392733575,2011,2
2011-03-31 00:00:00+00:00,1.0219792528128457,1.091288007615194,1.0980235416117494,1.1056670831819666,2011,3
2011-04-30 00:00:00+00:00,1.0227338253079752,1.092066312829047,1.1057605333232734,1.1175787473919543,2011,4
2011-05-31 00:00:00+00:00,1.0274121066698405,1.1211958803685877,1.1292240467524028,1.137993264496848,2011,5
2011-06-30 00:00:00+00:00,1.030482194314648,1.1427344007871318,1.1330224388482586,1.148460895643773,2011,6
2011-07-31 00:00:00+00:00,1.031103984079638,1.1470297143036638,1.1406993277205746,1.1598264090699724,2011,7
2011-08-31 00:00:00+00:00,1.0350927468550482,1.2102056168366997,1.1583312916642183,1.172588159696604,2011,8
2011-09-30 00:00:00+00:00,1.035424681399621,1.241667142207108,1.1667785060222837,1.1603375605268786,2011,9
2011-10-31 00:00:00+00:00,1.0342293252498511,1.226405083731127,1.167325937205204,1.1525532633968214,2011,10
2011-11-30 00:00:00+00:00,1.035400103737315,1.2430146879673951,1.1760798679185127,1.178251404360246,2011,11
2011-12-31 00:00:00+00:00,1.0357332378108577,1.2504114497898686,1.1771444792668984,1.1826157654288,2011,12
2012-01-31 00:00:00+00:00,1.0364068653431764,1.2564293526740262,1.2012123350172965,1.1850804235897883,2012,1
2012-02-29 00:00:00+00:00,1.0357933400180377,1.25945937318834,1.2266924895339,1.2185849672564273,2012,2
2012-03-31 00:00:00+00:00,1.0345612013972547,1.2428082471542756,1.2215979315398662,1.2386042395864332,2012,3
2012-04-30 00:00:00+00:00,1.036057708358245,1.258475937913932,1.2271780950635118,1.2420414387552283,2012,4
2012-05-31 00:00:00+00:00,1.0368635077668793,1.2838755359098462,1.236124987183202,1.2369496976632461,2012,5
2012-06-30 00:00:00+00:00,1.0368116327227501,1.3029455711039317,1.245703747911865,1.2489686103923099,2012,6
2012-07-31 00:00:00+00:00,1.0379328828738292,1.3161087821007331,1.2811400249592448,1.2995781574091185,2012,7
2012-08-31 00:00:00+00:00,1.0379030643935203,1.3032354603291314,1.2863233731868298,1.3247403458430302,2012,8
2012-09-30 00:00:00+00:00,1.0383940336846806,1.3044938395276235,1.2982343283411057,1.349544383163271,2012,9
2012-10-31 00:00:00+00:00,1.038138286633177,1.3051689945872968,1.32250041703003,1.3709424336921159,2012,10
2012-11-30 00:00:00+00:00,1.0383081273547425,1.3162171448189621,1.3175339740945051,1.365378983468198,2012,11
2012-12-31 00:00:00+00:00,1.0386397431035264,1.3129641330459578,1.3168050083505,1.3822463321749285,2012,12
2013-01-31 00:00:00+00:00,1.038800847901284,1.2982522705125779,1.3106089569210382,1.377114386213918,2013,1
2013-02-28 00:00:00+00:00,1.0390842538039857,1.2949883484776468,1.3037185863438636,1.3519842543174874,2013,2
2013-03-31 00:00:00+00:00,1.03943730656822,1.3005174462976257,1.3071841118919796,1.344741784212598,2013,3
2013-04-30 00:00:00+00:00,1.0401602605712512,1.3231337781739112,1.3302748731582728,1.3714930389444933,2013,4
2013-05-31 00:00:00+00:00,1.0399833157521714,1.30922377572443,1.3221560295891661,1.3680053412665645,2013,5
2013-06-30 00:00:00+00:00,1.0388518939665627,1.273852128797986,1.270890065926511,1.2742217172397916,2013,6
2013-07-31 00:00:00+00:00,1.0390250892697832,1.2508298433833103,1.264992951393049,1.2692280529430329,2013,7
2013-08-31 00:00:00+00:00,1.0392579543281235,1.2383284076688326,1.252931108114013,1.2510248024768353,2013,8
2013-09-30 00:00:00+00:00,1.0389812445283018,1.2344336138729366,1.2525200808755081,1.2552967203149936,2013,9
2013-10-31 00:00:00+00:00,1.040872412410711,1.258683510589471,1.2782906175046518,1.291002513752595,2013,10
2013-11-30 00:00:00+00:00,1.0421369100957945,1.2549964866782712,1.2802586385381471,1.2782816356286726,2013,11
2013-12-31 00:00:00+00:00,1.041642820429203,1.2410308205826097,1.2857622586981603,1.2774230159065296,2013,12
2014-01-31 00:00:00+00:00,1.0415355586891561,1.2469378813910592,1.300439064740594,1.2825363242067225,2014,1
2014-02-28 00:00:00+00:00,1.0431701918680871,1.2650480911704873,1.3175306194267802,1.2903213496089172,2014,2
2014-03-31 00:00:00+00:00,1.0423522524737787,1.2647016167814713,1.322174408692206,1.3088853100720557,2014,3
2014-04-30 00:00:00+00:00,1.0428467332068663,1.267950762765688,1.3384893940553826,1.339189932678045,2014,4
2014-05-31 00:00:00+00:00,1.0444171795083979,1.2864561977534532,1.357945625538006,1.3672492008067476,2014,5
2014-06-30 00:00:00+00:00,1.043977568449609,1.2849567194465683,1.35827024084163,1.385547996000038,2014,6
2014-07-31 00:00:00+00:00,1.0438386214016335,1.2933475011208517,1.3657688974299167,1.3956994289890945,2014,7
2014-08-31 00:00:00+00:00,1.0452323264263064,1.3071056998892903,1.3765228052587974,1.3911204544400857,2014,8
2014-09-30 00:00:00+00:00,1.0446363942371966,1.2973551746974077,1.3667258210206081,1.387521385202117,2014,9
2014-10-31 00:00:00+00:00,1.0481257621434554,1.3251048162997623,1.3859917679188323,1.3892295140260422,2014,10
2014-11-30 00:00:00+00:00,1.0475733955442355,1.3236972010294081,1.3792659283622593,1.392403418363331,2014,11
2014-12-31 00:00:00+00:00,1.0465076650269418,1.3369574242964335,1.388378820603913,1.362500868502173,2014,12
2015-01-31 00:00:00+00:00,1.0496611595017813,1.373645058313992,1.4209294240672374,1.3657836710165812,2015,1
2015-02-28 00:00:00+00:00,1.0491598144896326,1.3644281304623322,1.423949642063601,1.385280110619708,2015,2
2015-03-31 00:00:00+00:00,1.0494390422365278,1.360448438899297,1.4181950828998886,1.3842658553129132,2015,3
2015-04-30 00:00:00+00:00,1.0523663195938704,1.3764768692489073,1.4313680143210379,1.4179562216880512,2015,4
2015-05-31 00:00:00+00:00,1.0517915312136383,1.351782958272466,1.3949856804783312,1.4099439333877077,2015,5
2015-06-30 00:00:00+00:00,1.0514816029738727,1.3359964683137442,1.3726106448340178,1.384247998964731,2015,6
2015-07-31 00:00:00+00:00,1.0529625633393571,1.3438487002191954,1.3731671207667835,1.3832300520336973,2015,7
2015-08-31 00:00:00+00:00,1.0529972618576229,1.3620207932755501,1.376476529040119,1.3696964849594584,2015,8
2015-09-30 00:00:00+00:00,1.053890680469599,1.366844368529584,1.3825666132957046,1.3700532608784575,2015,9
2015-10-31 00:00:00+00:00,1.0562584231580947,1.3813391319813344,1.3979855206435,1.3872794740385472,2015,10
2015-11-30 00:00:00+00:00,1.0521780744356695,1.3599121479115621,1.385980740129722,1.3924019837288382,2015,11
2015-12-31 00:00:00+00:00,1.0511937254502042,1.364162950988463,1.3836654489615996,1.3744538383453677,2015,12
